venue_id,account_code_from,account_code_to,box_office_product_kind_id
1204,ANCILLARY|,ANCILLARY|ZZ,4
1204,AUDIO|,AUDIO|ZZ,4
1204,AV|,AV|ZZ,4
1204,CHARGE|,CHARGE|ZZ,4
1204,CITYPASS|,CITYPASS|ZZ,4
1204,DONATION|,DONATION|ZZ,5
1204,EVENTS:,EVENTS:ZZ,4
1204,EX:GA|EX:COMBO,EX:GA|EX:GSONLY,1
1204,EX:GA|EX:MBONLY,EX:GA|EX:MBONLY,2
1204,EX:GA|EX:ONLY,EX:GA|EX:PVTONLY,1
1204,EX:GA|EX:SGCOMBO,EX:GA|EX:SGONLY,3
1204,EX:GA|EX:SPONLY,EX:GA|EX:SPONLY,1
1204,EX:SP|,EX:SP|ZZ,6
1204,EX:SP:PRLV|,EX:SP:PRLV|ZZ,6
1204,FB:,FB:ZZ,4
1204,FEES|,FEES|ZZ,4
1204,IM:,IM:ZZ,6
1204,INHSECARDS|,INHSECARDS|ZZ,4
1204,LR:,LR:ZZ,4
1204,LS:,LS:ZZ,6
1204,MEMBER,MEMBERZZ,2
1204,ON:PRLV|,ON:PRLV|ZZ,6
1204,ONEOFF|,ONEOFF|ZZ,4
1204,PL:,PL:ZZ,6
1204,SOW|,SOW|ZZ,4
1204,SS:,SS:ZZ,6
1204,Y&F PROGS|,Y&F PROGS|ZZ,4
