month,category_code,type,goal
201701,ga,amount,1224402.00
201702,ga,amount,1457401.00
201703,ga,amount,2101538.00
201704,ga,amount,2250083.00
201705,ga,amount,2310905.00
201706,ga,amount,2843947.00
201707,ga,amount,4320356.00
201708,ga,amount,3740613.00
201709,ga,amount,1971312.00
201710,ga,amount,1601535.00
201711,ga,amount,1444975.00
201712,ga,amount,1386290.00
201701,ga,units,34975.00
201702,ga,units,40858.00
201703,ga,units,58484.00
201704,ga,units,62501.00
201705,ga,units,61023.00
201706,ga,units,76411.00
201707,ga,units,118159.00
201708,ga,units,102063.00
201709,ga,units,53651.00
201710,ga,units,44198.00
201711,ga,units,46804.00
201712,ga,units,50593.00
201701,group,amount,52599.00
201702,group,amount,84613.00
201703,group,amount,94619.00
201704,group,amount,157249.00
201705,group,amount,160132.00
201706,group,amount,186289.00
201707,group,amount,338439.00
201708,group,amount,357773.00
201709,group,amount,294098.00
201710,group,amount,121578.00
201711,group,amount,90452.00
201712,group,amount,60601.00
201701,group,units,2955.00
201702,group,units,3489.00
201703,group,units,5643.00
201704,group,units,4878.00
201705,group,units,7001.00
201706,group,units,9634.00
201707,group,units,16613.00
201708,group,units,14645.00
201709,group,units,4441.00
201710,group,units,3577.00
201711,group,units,3459.00
201712,group,units,2153.00
201701,education,amount,27521.00
201702,education,amount,41438.00
201703,education,amount,93307.00
201704,education,amount,65310.00
201705,education,amount,277626.00
201706,education,amount,199303.00
201707,education,amount,30625.00
201708,education,amount,15650.00
201709,education,amount,8311.00
201710,education,amount,47463.00
201711,education,amount,45610.00
201712,education,amount,21283.00
201701,education,units,9551.00
201702,education,units,16880.00
201703,education,units,6675.00
201704,education,units,3559.00
201705,education,units,14404.00
201706,education,units,10557.00
201707,education,units,1961.00
201708,education,units,899.00
201709,education,units,2063.00
201710,education,units,13783.00
201711,education,units,14387.00
201712,education,units,8769.00
201701,4d_theater,amount,41479.00
201702,4d_theater,amount,51394.00
201703,4d_theater,amount,95330.00
201704,4d_theater,amount,132342.00
201705,4d_theater,amount,124369.00
201706,4d_theater,amount,135218.00
201707,4d_theater,amount,166939.00
201708,4d_theater,amount,142396.00
201709,4d_theater,amount,33614.00
201710,4d_theater,amount,50728.00
201711,4d_theater,amount,47152.00
201712,4d_theater,amount,76141.00
201701,membership_new,amount,236327.00
201702,membership_new,amount,222798.00
201703,membership_new,amount,355061.00
201704,membership_new,amount,271395.00
201705,membership_new,amount,258331.00
201706,membership_new,amount,260768.00
201707,membership_new,amount,446971.00
201708,membership_new,amount,425993.00
201709,membership_new,amount,184919.00
201710,membership_new,amount,174355.00
201711,membership_new,amount,212651.00
201712,membership_new,amount,337766.00
201701,membership_renewal,amount,95008.00
201702,membership_renewal,amount,140169.00
201703,membership_renewal,amount,155170.00
201704,membership_renewal,amount,169235.00
201705,membership_renewal,amount,166134.00
201706,membership_renewal,amount,152007.00
201707,membership_renewal,amount,142469.00
201708,membership_renewal,amount,133779.00
201709,membership_renewal,amount,94954.00
201710,membership_renewal,amount,107548.00
201711,membership_renewal,amount,115936.00
201712,membership_renewal,amount,190490.00
