date,ga,group_paid,group_free,education_paid,education_free,member_attendance,other_attendance_comp,immersion_tours,other_attendance_ca
2017-01-01,1850,130,30,0,0,1637,39,45,20
2017-01-02,590,22,30,0,0,1331,34,40,5
2017-01-03,405,31,40,55,103,210,10,0,5
2017-01-04,475,24,25,55,203,185,8,0,5
2017-01-05,540,20,4,55,403,160,4,0,5
2017-01-06,1400,37,6,55,553,275,10,50,5
2017-01-07,2384,275,22,0,0,1216,26,53,20
2017-01-08,1700,96,10,0,0,1129,21,50,20
2017-01-09,400,20,5,55,303,175,9,0,5
2017-01-10,350,28,35,55,303,226,12,0,5
2017-01-11,400,28,5,55,382,201,4,0,5
2017-01-12,375,20,4,55,453,164,4,0,5
2017-01-13,1700,47,3,55,478,263,14,50,5
2017-01-14,3800,295,7,0,650,1530,41,50,20
2017-01-15,3200,214,4,0,0,1519,24,55,20
2017-01-16,2525,149,16,0,0,1521,24,0,5
2017-01-17,500,32,53,55,316,287,10,0,5
2017-01-18,220,37,35,55,453,222,10,0,5
2017-01-19,303,23,3,55,453,240,10,0,5
2017-01-20,1350,35,6,55,553,560,10,50,5
2017-01-21,1500,275,22,0,0,1230,29,50,24
2017-01-22,1550,97,4,0,0,1225,23,50,24
2017-01-23,225,20,6,55,403,170,14,0,5
2017-01-24,200,28,40,55,427,218,10,0,5
2017-01-25,300,27,18,55,453,196,9,0,5
2017-01-26,335,24,2,55,453,175,9,0,5
2017-01-27,1600,39,4,55,503,267,12,50,5
2017-01-28,2750,278,5,0,0,1235,29,40,24
2017-01-29,1400,96,10,0,0,1147,21,50,24
2017-01-30,353,23,1,55,303,235,10,0,5
2017-01-31,295,22,8,55,303,245,10,0,5
2017-02-01,300,37,6,85,709,175,10,0,7
2017-02-02,400,34,2,85,709,175,8,3,7
2017-02-03,1650,67,5,85,909,225,8,60,7
2017-02-04,2952,255,43,0,0,1325,46,55,50
2017-02-05,1315,79,45,0,0,1160,30,50,30
2017-02-06,426,50,6,85,709,175,6,3,7
2017-02-07,291,38,6,85,709,181,8,0,7
2017-02-08,318,34,4,85,709,175,8,0,7
2017-02-09,400,30,3,85,809,120,8,3,7
2017-02-10,1850,95,8,85,1009,225,10,60,7
2017-02-11,3500,429,73,0,0,1525,40,55,50
2017-02-12,3000,290,42,0,0,1260,50,50,30
2017-02-13,450,55,33,85,9,175,24,0,7
2017-02-14,600,53,2,85,709,187,12,0,7
2017-02-15,561,32,8,85,709,180,8,0,7
2017-02-16,626,33,4,85,709,175,8,3,7
2017-02-17,2300,70,10,85,909,281,10,60,7
2017-02-18,4260,355,53,0,0,1940,57,55,50
2017-02-19,2600,194,27,0,0,1775,40,50,30
2017-02-20,2624,98,4,85,709,1385,25,45,7
2017-02-21,400,35,6,85,709,225,12,0,7
2017-02-22,390,32,6,85,809,127,10,0,7
2017-02-23,412,30,4,85,909,121,12,2,7
2017-02-24,1700,65,8,85,909,200,12,55,7
2017-02-25,4133,295,43,0,0,1530,38,55,50
2017-02-26,2300,143,27,0,0,1130,28,40,30
2017-02-27,600,35,4,85,909,180,12,0,7
2017-02-28,500,40,4,85,909,212,10,0,7
2017-03-01,432,63,5,200,422,318,8,0,9
2017-03-02,490,63,5,200,422,340,8,3,9
2017-03-03,1900,93,5,200,422,340,8,40,14
2017-03-04,4300,500,37,0,0,1928,30,55,72
2017-03-05,2964,205,22,0,0,1702,48,45,52
2017-03-06,1024,68,8,200,222,340,32,3,9
2017-03-07,850,83,7,200,191,341,13,5,9
2017-03-08,900,83,7,200,22,340,7,5,9
2017-03-09,800,83,7,200,22,340,7,5,9
2017-03-10,2800,105,7,200,22,350,16,60,19
2017-03-11,4599,575,57,0,0,425,50,50,72
2017-03-12,2761,260,32,0,0,1900,55,50,52
2017-03-13,1175,69,8,200,22,1640,18,3,14
2017-03-14,917,83,7,200,22,341,10,3,14
2017-03-15,1028,83,7,200,22,340,11,0,14
2017-03-16,1063,83,7,200,22,340,10,20,14
2017-03-17,2200,90,6,200,22,340,28,65,59
2017-03-18,4995,575,57,0,0,2150,62,50,92
2017-03-19,2977,260,37,0,0,1820,53,50,72
2017-03-20,1056,68,4,200,22,440,14,0,14
2017-03-21,678,83,5,200,22,444,14,5,19
2017-03-22,850,83,5,200,22,440,12,5,19
2017-03-23,950,83,5,200,22,440,12,5,14
2017-03-24,3000,103,5,200,22,440,12,60,29
2017-03-25,4700,565,22,0,0,2117,38,55,92
2017-03-26,2850,260,52,0,0,1900,68,45,72
2017-03-27,1100,70,45,200,22,455,46,0,14
2017-03-28,750,85,11,200,22,452,14,0,14
2017-03-29,925,84,11,200,22,452,16,0,14
2017-03-30,950,79,11,200,22,450,14,20,14
2017-03-31,2500,130,22,200,22,450,16,60,49
2017-04-01,4900,645,40,0,0,1282,50,55,127
2017-04-02,2900,302,34,0,0,975,51,55,132
2017-04-03,1000,93,10,550,60,250,12,4,14
2017-04-04,900,119,11,550,60,250,12,4,14
2017-04-05,780,121,11,550,60,240,12,4,14
2017-04-06,900,122,11,550,60,240,10,0,14
2017-04-07,5000,195,18,550,60,250,12,55,49
2017-04-08,5000,775,56,0,0,1490,24,60,189
2017-04-09,4250,290,43,0,0,1290,55,60,169
2017-04-10,3800,174,17,200,22,876,42,30,192
2017-04-11,4400,174,17,200,22,660,35,20,192
2017-04-12,4400,178,17,200,22,660,31,20,192
