month,category_code,type,goal
201607,ga,amount,415503.00
201608,ga,amount,440263.80
201609,ga,amount,141118.20
201610,ga,amount,135645.09
201611,ga,amount,171040.36
201612,ga,amount,188542.10
201701,ga,amount,211259.37
201702,ga,amount,213523.56
201703,ga,amount,257249.39
201704,ga,amount,266134.28
201705,ga,amount,282157.27
201706,ga,amount,332046.59
201607,ga,units,47839.00
201608,ga,units,46421.00
201609,ga,units,14383.00
201610,ga,units,14783.00
201611,ga,units,17116.00
201612,ga,units,17787.00
201701,ga,units,17460.00
201702,ga,units,16685.00
201703,ga,units,22948.00
201704,ga,units,33891.00
201705,ga,units,41882.00
201706,ga,units,50752.00
201607,group,amount,54157.50
201608,group,amount,59895.00
201609,group,amount,12951.00
201610,group,amount,16769.24
201611,group,amount,20708.32
201612,group,amount,21945.25
201701,group,amount,29695.51
201702,group,amount,33123.23
201703,group,amount,24463.00
201704,group,amount,43532.11
201705,group,amount,36699.69
201706,group,amount,51778.15
201607,group,units,7071.00
201608,group,units,6860.00
201609,group,units,2126.00
201610,group,units,2185.00
201611,group,units,2530.00
201612,group,units,2629.00
201701,group,units,2580.00
201702,group,units,2466.00
201703,group,units,3392.00
201704,group,units,5009.00
201705,group,units,6190.00
201706,group,units,7501.00
201607,education,amount,7908.00
201608,education,amount,2177.00
201609,education,amount,1245.00
201610,education,amount,9649.00
201611,education,amount,16458.00
201612,education,amount,6729.00
201701,education,amount,10399.00
201702,education,amount,8894.00
201703,education,amount,23079.00
201704,education,amount,33034.00
201705,education,amount,51678.00
201706,education,amount,59600.00
201607,education,units,10260.00
201608,education,units,9955.00
201609,education,units,3085.00
201610,education,units,3170.00
201611,education,units,3671.00
201612,education,units,3815.00
201701,education,units,3744.00
201702,education,units,3579.00
201703,education,units,4921.00
201704,education,units,7268.00
201705,education,units,8983.00
201706,education,units,10884.00
201607,special_exhibit,amount,452670.00
201608,special_exhibit,amount,541452.00
201609,special_exhibit,amount,164248.00
201610,special_exhibit,amount,105643.00
201611,special_exhibit,amount,178950.00
201612,special_exhibit,amount,261345.00
201701,special_exhibit,amount,89227.00
201702,special_exhibit,amount,-
201703,special_exhibit,amount,-
201704,special_exhibit,amount,502670.00
201705,special_exhibit,amount,688581.00
201706,special_exhibit,amount,666360.00
201607,special_exhibit,units,55779.00
201608,special_exhibit,units,66719.00
201609,special_exhibit,units,20239.00
201610,special_exhibit,units,13749.00
201611,special_exhibit,units,22761.00
201612,special_exhibit,units,33241.00
201701,special_exhibit,units,11349.00
201702,special_exhibit,units,-
201703,special_exhibit,units,-
201704,special_exhibit,units,39544.00
201705,special_exhibit,units,53298.00
201706,special_exhibit,units,51578.00
201607,imax,amount,278818.00
201608,imax,amount,237685.00
201609,imax,amount,127990.00
201610,imax,amount,129811.00
201611,imax,amount,230531.00
201612,imax,amount,384656.00
201701,imax,amount,430688.00
201702,imax,amount,225336.00
201703,imax,amount,223958.00
201704,imax,amount,246600.00
201705,imax,amount,264673.00
201706,imax,amount,278996.00
201607,imax,units,70368.00
201608,imax,units,66394.00
201609,imax,units,28363.00
201610,imax,units,28015.00
201611,imax,units,34219.00
201612,imax,units,47793.00
201701,imax,units,49366.00
201702,imax,units,51456.00
201703,imax,units,59028.00
201704,imax,units,76696.00
201705,imax,units,91747.00
201706,imax,units,104814.00
201607,laser_show,amount,39746.00
201608,laser_show,amount,48808.00
201609,laser_show,amount,17942.00
201610,laser_show,amount,4803.00
201611,laser_show,amount,35596.00
201612,laser_show,amount,14813.00
201701,laser_show,amount,26440.00
201702,laser_show,amount,25873.00
201703,laser_show,amount,22833.00
201704,laser_show,amount,40712.00
201705,laser_show,amount,36790.00
201706,laser_show,amount,33964.00
201607,laser_show,units,10785.00
201608,laser_show,units,10785.00
201609,laser_show,units,7626.00
201610,laser_show,units,4551.00
201611,laser_show,units,5490.00
201612,laser_show,units,4974.00
201701,laser_show,units,6882.00
201702,laser_show,units,5654.00
201703,laser_show,units,5803.00
201704,laser_show,units,7627.00
201705,laser_show,units,8094.00
201706,laser_show,units,8068.00
201607,membership_new,amount,
201608,membership_new,amount,
201609,membership_new,amount,
201610,membership_new,amount,
201611,membership_new,amount,
201612,membership_new,amount,
201701,membership_new,amount,
201702,membership_new,amount,
201703,membership_new,amount,
201704,membership_new,amount,
201705,membership_new,amount,
201706,membership_new,amount,
201607,membership_new,units,
201608,membership_new,units,
201609,membership_new,units,
201610,membership_new,units,
201611,membership_new,units,
201612,membership_new,units,
201701,membership_new,units,
201702,membership_new,units,
201703,membership_new,units,
201704,membership_new,units,
201705,membership_new,units,
201706,membership_new,units,
201607,membership_renewal,amount,
201608,membership_renewal,amount,
201609,membership_renewal,amount,
201610,membership_renewal,amount,
201611,membership_renewal,amount,
201612,membership_renewal,amount,
201701,membership_renewal,amount,
201702,membership_renewal,amount,
201703,membership_renewal,amount,
201704,membership_renewal,amount,
201705,membership_renewal,amount,
201706,membership_renewal,amount,
201607,membership_renewal,units,
201608,membership_renewal,units,
201609,membership_renewal,units,
201610,membership_renewal,units,
201611,membership_renewal,units,
201612,membership_renewal,units,
201701,membership_renewal,units,
201702,membership_renewal,units,
201703,membership_renewal,units,
201704,membership_renewal,units,
201705,membership_renewal,units,
201706,membership_renewal,units,
201607,store,amount,40117.00
201608,store,amount,105039.00
201609,store,amount,37300.00
201610,store,amount,26278.00
201611,store,amount,21117.00
201612,store,amount,40539.00
201701,store,amount,35344.00
201702,store,amount,11161.00
201703,store,amount,50567.00
201704,store,amount,69872.00
201705,store,amount,57722.00
201706,store,amount,66294.00
