category,code_from,code_to,is_unique_visitor,is_visitor,is_unit,venue_id,system
other_sales,SPACES|,SPACES|Z,,,1,1518,siriusware
other_sales,SPEVT|,SPEVT|Z,,,1,1518,siriusware
4d_theater,ADONS|4DPOLAR|,ADONS|4DPOLAR|Z,,1,1,1518,siriusware
4d_theater,ADONS|4DSALMON|,ADONS|4DSALMON|Z,,1,1,1518,siriusware
4d_theater,ADONS|4DSEA|,ADONS|4DSEA|Z,,1,1,1518,siriusware
4d_theater,ADONS|4DSPONGE|,ADONS|4DSPONGE|Z,,1,1,1518,siriusware
tours,ADONS|BTS|,ADONS|BTS|Z,,1,1,1518,siriusware
experiences,ED-PT|D101|,ED-PT|D101|Z,1,1,1,1518,siriusware
experiences,ED-PT|DE1:00|,ED-PT|DE1:00|Z,1,1,1,1518,siriusware
experiences,ED-PT|DE9:00|,ED-PT|DE9:00|Z,1,1,1,1518,siriusware
experiences,ED-PT|DOLSO|,ED-PT|DOLSO|Z,1,1,1,1518,siriusware
tours,ED-PT|GT8:30|,ED-PT|GT8:30|Z,1,1,1,1518,siriusware
tours,ED-PT|GT9:30|,ED-PT|GT9:30|Z,1,1,1,1518,siriusware
tours,ED-PT|INSIDE8:30|,ED-PT|INSIDE8:30|Z,1,1,1,1518,siriusware
tours,ED-PT|INSIDE9:30|,ED-PT|INSIDE9:30|Z,1,1,1,1518,siriusware
tours,ED-PT|PT-BACK|,ED-PT|PT-BACK|Z,1,1,1,1518,siriusware
experiences,ED-PT|PT-DIVE|,ED-PT|PT-DIVE|Z,1,1,1,1518,siriusware
tours,ED-PT|PT-GOLD10|,ED-PT|PT-GOLD10|Z,1,1,1,1518,siriusware
tours,ED-PT|PT-GOLD9|,ED-PT|PT-GOLD9|Z,1,1,1,1518,siriusware
experiences,ED-PT|PTCARE|,ED-PT|PTCARE|Z,1,1,1,1518,siriusware
experiences,ED-PT|PTDOLEXP|,ED-PT|PTDOLEXP|Z,1,1,1,1518,siriusware
experiences,ED-PT|PTHALSO|,ED-PT|PTHALSO|Z,1,1,1,1518,siriusware
tours,ED-PT|PTICKY|,ED-PT|PTICKY|Z,1,1,1,1518,siriusware
experiences,ED-PT|PTSOA|,ED-PT|PTSOA|Z,1,1,1,1518,siriusware
tours,ED-PT|PTTWIL|,ED-PT|PTTWIL|Z,1,1,1,1518,siriusware
experiences,ED-PT|SKS|,ED-PT|SKS|Z,1,1,1,1518,siriusware
tours,ED-PT|SPECTOUR|,ED-PT|SPECTOUR|Z,1,1,1,1518,siriusware
tours,ED-PT|ST|,ED-PT|ST|Z,1,1,1,1518,siriusware
experiences,ED-PT|VET|,ED-PT|VET|Z,1,1,1,1518,siriusware
member_attendance,MEMBERSHIP|ADMISSIONS|,MEMBERSHIP|ADMISSIONS|Z,1,1,1,1518,siriusware
membership_new_corporate,MEMBERSHIP|MBRCM|,MEMBERSHIP|MBRCM|Z,,,1,1518,siriusware
membership_ren_corporate,MEMBERSHIP|MBRCMRNW|,MEMBERSHIP|MBRCMRNW|Z,,,1,1518,siriusware
membership_new_premium,MEMBERSHIP|MBRDS|,MEMBERSHIP|MBRDS|Z,,,1,1518,siriusware
membership_ren_premium,MEMBERSHIP|MBRDSRNW|,MEMBERSHIP|MBRDSRNW|Z,,,1,1518,siriusware
other_sales,MISCREV|DONATIONS|,MISCREV|DONATIONS|Z,,,1,1518,siriusware
other_attendance,ADM-ENTRY|ADM-F|,ADM-ENTRY|ADM-F|Z,1,1,1,1518,siriusware
ga,ADM-ENTRY|AP-P|,ADM-ENTRY|AP-P|Z,1,1,1,1518,siriusware
other_attendance,ADM-ENTRY|BOG-F|,ADM-ENTRY|BOG-F|Z,1,1,1,1518,siriusware
group,ADM-ENTRY|CAT-F|,ADM-ENTRY|CAT-F|Z,1,1,1,1518,siriusware
group,ADM-ENTRY|CAT-P|,ADM-ENTRY|CAT-P|Z,1,1,1,1518,siriusware
other_attendance,ADM-ENTRY|CO-F|,ADM-ENTRY|CO-F|Z,1,1,1,1518,siriusware
group,ADM-ENTRY|CONS-P|,ADM-ENTRY|CONS-P|Z,1,1,1,1518,siriusware
education,ADM-ENTRY|ED-F|,ADM-ENTRY|ED-F|Z,1,1,1,1518,siriusware
education,ADM-ENTRY|ED-P|,ADM-ENTRY|ED-P|Z,1,1,1,1518,siriusware
ga,ADM-ENTRY|GA-P|,ADM-ENTRY|GA-P|Z,1,1,1,1518,siriusware
ga,ADM-ENTRY|GIFT-P|,ADM-ENTRY|GIFT-P|Z,1,1,1,1518,siriusware
group,ADM-ENTRY|GS-F|,ADM-ENTRY|GS-F|Z,1,1,1,1518,siriusware
group,ADM-ENTRY|GS-P|,ADM-ENTRY|GS-P|Z,1,1,1,1518,siriusware
member_attendance,ADM-ENTRY|MAT-P|,ADM-ENTRY|MAT-P|Z,1,1,1,1518,siriusware
member_attendance,ADM-ENTRY|ME-F|,ADM-ENTRY|ME-F|Z,1,1,1,1518,siriusware
member_attendance,ADM-ENTRY|VIP-F|,ADM-ENTRY|VIP-F|Z,1,1,1,1518,siriusware
membership_new_family,MEMBERSHIP|MBRNEW|DMDC|,MEMBERSHIP|MBRNEW|DMDC|,,,1,1518,siriusware
membership_new_family,MEMBERSHIP|MBRNEW|DMDCC|,MEMBERSHIP|MBRNEW|DMDCC|,,,1,1518,siriusware
membership_new_couple,MEMBERSHIP|MBRNEW|GENCO|,MEMBERSHIP|MBRNEW|GENCO|,,,1,1518,siriusware
membership_new_couple,MEMBERSHIP|MBRNEW|GENCOC|,MEMBERSHIP|MBRNEW|GENCOC|,,,1,1518,siriusware
membership_new_family,MEMBERSHIP|MBRNEW|GENFA|,MEMBERSHIP|MBRNEW|GENFA|,,,1,1518,siriusware
membership_new_family,MEMBERSHIP|MBRNEW|GENFAC|,MEMBERSHIP|MBRNEW|GENFAC|,,,1,1518,siriusware
membership_new_family,MEMBERSHIP|MBRNEW|GENFACL|,MEMBERSHIP|MBRNEW|GENFACL|,,,1,1518,siriusware
membership_new_family,MEMBERSHIP|MBRNEW|GENFC|,MEMBERSHIP|MBRNEW|GENFC|,,,1,1518,siriusware
membership_new_individual,MEMBERSHIP|MBRNEW|GENIN|,MEMBERSHIP|MBRNEW|GENIN|,,,1,1518,siriusware
membership_ren_couple,MEMBERSHIP|MBRRNW|GENCORNW|,MEMBERSHIP|MBRRNW|GENCORNW|,,,1,1518,siriusware
membership_ren_family,MEMBERSHIP|MBRRNW|GENFARNW|,MEMBERSHIP|MBRRNW|GENFARNW|,,,1,1518,siriusware
membership_ren_family,MEMBERSHIP|MBRRNW|GENFCRNW|,MEMBERSHIP|MBRRNW|GENFCRNW|,,,1,1518,siriusware
membership_ren_individual,MEMBERSHIP|MBRRNW|GENINRNW|,MEMBERSHIP|MBRRNW|GENINRNW|,,,1,1518,siriusware
membership_ren_family,MEMBERSHIP|MBRRNWND|DMDCCCLR|,MEMBERSHIP|MBRRNWND|DMDCCCLR|,,,1,1518,siriusware
membership_ren_family,MEMBERSHIP|MBRRNWND|DMDCCLR|,MEMBERSHIP|MBRRNWND|DMDCCLR|,,,1,1518,siriusware
membership_ren_family,MEMBERSHIP|MBRRNWND|DMDCCR|,MEMBERSHIP|MBRRNWND|DMDCCR|,,,1,1518,siriusware
membership_ren_family,MEMBERSHIP|MBRRNWND|DMDCRNW|,MEMBERSHIP|MBRRNWND|DMDCRNW|,,,1,1518,siriusware
membership_ren_couple,MEMBERSHIP|MBRRNWND|GENCORNW|,MEMBERSHIP|MBRRNWND|GENCORNW|,,,1,1518,siriusware
membership_ren_family,MEMBERSHIP|MBRRNWND|GENDCRNW|,MEMBERSHIP|MBRRNWND|GENDCRNW|,,,1,1518,siriusware
membership_ren_family,MEMBERSHIP|MBRRNWND|GENFARNW|,MEMBERSHIP|MBRRNWND|GENFARNW|,,,1,1518,siriusware
membership_ren_family,MEMBERSHIP|MBRRNWND|GENFCRNW|,MEMBERSHIP|MBRRNWND|GENFCRNW|,,,1,1518,siriusware
membership_ren_individual,MEMBERSHIP|MBRRNWND|GENINRNW|,MEMBERSHIP|MBRRNWND|GENINRNW|,,,1,1518,siriusware
ga,MEMBERSHIP|MISC|RM-GA|,MEMBERSHIP|MISC|RM-GA|,,,1,1518,siriusware
