category,code_from,code_to,is_unique_visitor,is_visitor,is_unit,venue_id,system
other_sales,ANCILLARY|,ANCILLARY|Z,,,1,1204,siriusware
other_sales,AUDIO|,AUDIO|Z,,,1,1204,siriusware
other_sales,AV|,AV|Z,,,1,1204,siriusware
other_sales,CHARGE|,CHARGE|Z,,,1,1204,siriusware
other_sales,CITYPASS|,CITYPASS|Z,,,1,1204,siriusware
other_sales,DONATION|,DONATION|Z,,,1,1204,siriusware
other_sales,EVENTS:21|,EVENTS:21|Z,,,1,1204,siriusware
other_sales,EVENTS:BD|,EVENTS:BD|Z,,,1,1204,siriusware
other_sales,EVENTS:GN|,EVENTS:GN|Z,,,1,1204,siriusware
other_sales,EVENTS:REN|,EVENTS:REN|Z,,,1,1204,siriusware
special_exhibit,EX:SP|,EX:SP|Z,,1,1,1204,siriusware
fb_other,FB:BAR|,FB:BAR|Z,,,1,1204,siriusware
cafe,FB:CAFE|,FB:CAFE|Z,,,1,1204,siriusware
fb_other,FB:CON|,FB:CON|Z,,,1,1204,siriusware
fb_other,FB:IM:BOE|,FB:IM:BOE|Z,,,1,1204,siriusware
fb_other,FB:IM:PAC|,FB:IM:PAC|Z,,,1,1204,siriusware
fb_other,FB:LS|,FB:LS|Z,,,1,1204,siriusware
other_sales,FEES|,FEES|Z,,,,1204,siriusware
imax_non_studio,IM:BO:NS|,IM:BO:NS|Z,,1,1,1204,siriusware
imax_studio,IM:BO:ST|,IM:BO:ST|Z,,1,1,1204,siriusware
imax_studio,IM:BO:STNS|,IM:BO:STNS|Z,,1,1,1204,siriusware
imax_non_studio,IM:PA:NS|,IM:PA:NS|Z,,1,1,1204,siriusware
imax_non_studio,IM:PA:NSNS|,IM:PA:NSNS|Z,,1,1,1204,siriusware
imax_studio,IM:PA:ST|,IM:PA:ST|Z,,1,1,1204,siriusware
other_sales,INHSECARDS|,INHSECARDS|Z,,,,1204,siriusware
laser_day,LS:DAY|,LS:DAY|Z,,1,1,1204,siriusware
laser_night,LS:EVE|,LS:EVE|Z,,1,1,1204,siriusware
laser_night,LS:EVEBN|,LS:EVEBN|Z,,1,1,1204,siriusware
laser_night,LS:EVENS|,LS:EVENS|Z,,1,1,1204,siriusware
other_sales,ON:PRLV|,ON:PRLV|Z,,,,1204,siriusware
other_sales,ONEOFF|,ONEOFF|Z,,,,1204,siriusware
planetarium,PL:DAY|,PL:DAY|Z,,1,1,1204,siriusware
