venue_id,category,goals_period_type,goals_amount,goals_unit
1204,cafe,none,,
1204,education,monthly,1,1
1204,exhibit,none,,
1204,fb,none,,
1204,fb_other,none,,
1204,ga,monthly,1,1
1204,group,monthly,1,1
1204,guest_services,none,,
1204,imax,none,,
1204,imax_non_studio,monthly,1,1
1204,imax_studio,monthly,1,1
1204,laser_day,monthly,1,1
1204,laser_night,monthly,1,1
1204,laser_show,none,,
1204,member_attendance,monthly,,1
1204,membership,none,,
1204,membership_new,monthly,1,1
1204,membership_new_corporate,none,,
1204,membership_new_couple,none,,
1204,membership_new_family,none,,
1204,membership_new_individual,none,,
1204,membership_new_premium,none,,
1204,membership_ren_corporate,none,,
1204,membership_ren_couple,none,,
1204,membership_ren_family,none,,
1204,membership_ren_individual,none,,
1204,membership_ren_premium,none,,
1204,membership_renewal,monthly,1,1
1204,other_attendance,none,,
1204,other_sales,none,,
1204,planetarium,none,,
1204,programming,none,,
1204,special_exhibit,none,,
1204,store,monthly,1,0
