category,goals_period_type,goals_amount,goals_unit
4d_theater,monthly,1,1
education,monthly,1,1
exhibit,none,,
experiences,none,,
ga,monthly,1,1
group,monthly,1,1
guest_services,none,,
member_attendance,none,,
membership,none,,
membership_new,monthly,1,1
membership_new_corporate,none,,
membership_new_couple,none,,
membership_new_family,none,,
membership_new_individual,none,,
membership_new_premium,none,,
membership_ren_corporate,none,,
membership_ren_couple,none,,
membership_ren_family,none,,
membership_ren_individual,none,,
membership_ren_premium,none,,
membership_renewal,monthly,1,1
other_attendance,none,,
other_sales,none,,
programming,none,,
store,monthly,1,1
tours,none,,
